Employee_ID,Gender,Age,Department,Education,Marital_Status,City,Work_Mode,Job_Role,Experience,Salary,Performance_Score
E001,Male,36,Operations,PhD,Married,Chennai,Remote,Developer,16,85286,8
E002,Male,40,Marketing,PG,Single,Salem,Onsite,Analyst,7,57956,5
E003,Male,31,Marketing,PhD,Single,Madurai,Onsite,Consultant,7,53872,4
E004,Female,42,IT,PG,Married,Coimbatore,Hybrid,Developer,17,127276,4
E005,Female,29,Operations,UG,Married,Trichy,Onsite,Analyst,6,64724,5
E006,Female,41,Finance,PhD,Married,Madurai,Hybrid,Consultant,9,55275,9
E007,Female,38,Operations,PG,Single,Salem,Onsite,Engineer,6,53960,10
E008,Male,45,Operations,UG,Married,Chennai,Remote,Engineer,12,85444,5
E009,Male,37,HR,PG,Married,Trichy,Remote,Engineer,14,64503,8
E010,Male,39,Operations,UG,Single,Coimbatore,Hybrid,Consultant,6,48712,6
E011,Male,38,Finance,PG,Married,Trichy,Remote,Developer,9,59143,10
E012,Male,41,Marketing,PG,Single,Chennai,Remote,Consultant,16,119207,5
E013,Female,29,Operations,UG,Married,Salem,Hybrid,Analyst,4,47726,4
E014,Male,23,IT,UG,Married,Coimbatore,Onsite,Engineer,2,34218,10
E015,Male,48,Finance,UG,Married,Coimbatore,Hybrid,Engineer,17,119612,9
E016,Female,39,Marketing,UG,Married,Salem,Onsite,Developer,14,70315,5
E017,Male,33,Marketing,PG,Married,Chennai,Onsite,Manager,10,66677,10
E018,Male,26,Finance,UG,Single,Trichy,Hybrid,Engineer,6,54256,7
E019,Male,25,HR,PG,Married,Chennai,Remote,Manager,2,38674,10
E020,Male,29,IT,UG,Single,Madurai,Onsite,Engineer,9,80852,6
E021,Female,53,Marketing,PhD,Single,Coimbatore,Hybrid,Manager,18,129037,10
E022,Female,36,Finance,UG,Married,Trichy,Hybrid,Consultant,7,55615,5
E023,Female,39,HR,PhD,Single,Trichy,Hybrid,Analyst,17,82362,10
E024,Female,45,Finance,PhD,Single,Madurai,Remote,Developer,12,74871,5
E025,Female,48,IT,PhD,Single,Madurai,Remote,Developer,20,130999,6
E026,Female,40,Marketing,UG,Married,Coimbatore,Hybrid,Engineer,14,109206,6
E027,Female,38,HR,PG,Single,Coimbatore,Onsite,Analyst,7,61714,10
E028,Male,35,IT,UG,Married,Coimbatore,Remote,Developer,14,78187,6
E029,Male,41,Operations,UG,Single,Salem,Hybrid,Manager,6,42486,4
E030,Female,43,HR,PG,Married,Chennai,Hybrid,Consultant,12,79317,4
E031,Female,45,IT,UG,Single,Madurai,Remote,Consultant,10,92393,6
E032,Male,41,Finance,PhD,Single,Chennai,Onsite,Manager,20,137964,9
E033,Male,34,IT,PhD,Single,Salem,Remote,Analyst,2,32387,8
E034,Male,44,Operations,PhD,Married,Chennai,Onsite,Developer,12,89870,8
E035,Male,44,IT,UG,Married,Madurai,Onsite,Manager,10,67886,6
E036,Female,24,Operations,PhD,Single,Coimbatore,Onsite,Analyst,4,39895,9
E037,Female,46,Finance,UG,Married,Madurai,Hybrid,Manager,13,92397,5
E038,Male,40,IT,UG,Single,Madurai,Hybrid,Consultant,14,116624,7
E039,Female,33,HR,PG,Single,Coimbatore,Remote,Manager,4,40189,7
E040,Male,37,Finance,UG,Single,Trichy,Onsite,Manager,3,39568,7
E041,Male,28,IT,PhD,Single,Coimbatore,Onsite,Manager,1,30273,6
E042,Male,30,IT,PG,Married,Madurai,Remote,Engineer,9,75897,8
E043,Male,37,Marketing,PhD,Married,Trichy,Onsite,Analyst,17,131497,5
E044,Female,37,Marketing,PG,Married,Chennai,Onsite,Manager,3,38685,10
E045,Male,37,Marketing,PG,Married,Salem,Hybrid,Developer,5,37292,5
E046,Male,52,Operations,PhD,Married,Coimbatore,Hybrid,Analyst,20,136698,9
E047,Female,31,Marketing,PhD,Single,Trichy,Remote,Analyst,8,79336,6
E048,Female,41,Operations,PhD,Single,Chennai,Hybrid,Engineer,18,113679,4
E049,Female,48,Finance,PG,Married,Chennai,Remote,Developer,13,63889,7
E050,Female,41,IT,PG,Single,Salem,Remote,Engineer,11,90190,9
E051,Male,42,HR,PhD,Single,Chennai,Remote,Developer,10,64050,5
E052,Female,49,Finance,UG,Single,Coimbatore,Remote,Analyst,20,123577,5
E053,Male,31,Marketing,PG,Single,Salem,Onsite,Manager,10,85585,7
E054,Male,44,Marketing,UG,Married,Trichy,Onsite,Developer,18,104276,9
E055,Male,45,Finance,PhD,Married,Salem,Hybrid,Analyst,19,107721,9
E056,Male,33,Operations,PhD,Single,Trichy,Remote,Analyst,7,64157,5
E057,Female,28,Marketing,PhD,Married,Chennai,Hybrid,Engineer,2,29071,9
E058,Female,49,HR,PhD,Married,Salem,Onsite,Manager,19,85665,6
E059,Female,35,Marketing,PG,Married,Chennai,Onsite,Engineer,7,64700,8
E060,Male,36,Marketing,UG,Married,Salem,Remote,Consultant,7,65066,5
E061,Male,43,Marketing,UG,Married,Chennai,Remote,Manager,9,61779,8
E062,Female,40,HR,UG,Single,Madurai,Onsite,Engineer,8,85751,4
E063,Male,41,Finance,UG,Married,Madurai,Remote,Consultant,15,97695,6
E064,Male,40,Marketing,PhD,Married,Chennai,Hybrid,Manager,19,95493,6
E065,Male,37,IT,PG,Married,Trichy,Hybrid,Manager,7,55283,4
E066,Female,34,HR,UG,Married,Trichy,Hybrid,Engineer,1,26744,10
E067,Male,35,Marketing,PG,Single,Salem,Onsite,Engineer,15,79958,8
E068,Female,24,IT,UG,Married,Madurai,Hybrid,Manager,1,36125,9
E069,Male,36,Marketing,UG,Single,Salem,Remote,Manager,11,81851,9
E070,Male,47,Marketing,UG,Single,Chennai,Hybrid,Analyst,17,98838,5
E071,Female,34,IT,UG,Single,Salem,Remote,Analyst,7,49790,4
E072,Male,23,HR,PG,Single,Trichy,Hybrid,Developer,3,48540,5
